date,season,team,opponent,team_score,opp_score,wteam,lteam,home_away,result,team_win_pct,team_win_streak,team_loss_streak,team_wins,team_losses,team_record
6/19/22,2022,ANA,SEA,4,0,ANA,SEA,away,W,0.470588235,2,0,32,36,32-36
6/20/22,2022,ANA,KCA,2,6,KCA,ANA,home,L,0.47826087,3,0,33,36,33-36
6/21/22,2022,ANA,KCA,11,12,KCA,ANA,home,L,0.471428571,0,1,33,37,33-37
6/22/22,2022,ANA,KCA,5,0,ANA,KCA,home,W,0.464788732,0,2,33,38,33-38
6/24/22,2022,ANA,SEA,3,4,SEA,ANA,home,L,0.472222222,1,0,34,38,34-38
6/25/22,2022,ANA,SEA,3,5,SEA,ANA,home,L,0.465753425,0,1,34,39,34-39
6/26/22,2022,ANA,SEA,2,1,ANA,SEA,home,W,0.459459459,0,2,34,40,34-40
6/27/22,2022,ANA,CHA,4,3,ANA,CHA,home,W,0.466666667,1,0,35,40,35-40
6/28/22,2022,ANA,CHA,4,11,CHA,ANA,home,L,0.473684211,2,0,36,40,36-40
6/29/22,2022,ANA,CHA,4,1,ANA,CHA,home,W,0.467532468,0,1,36,41,36-41
7/1/22,2022,ANA,HOU,1,8,HOU,ANA,away,L,0.474358974,1,0,37,41,37-41
7/2/22,2022,ANA,HOU,1,9,HOU,ANA,away,L,0.46835443,0,1,37,42,37-42
7/3/22,2022,ANA,HOU,2,4,HOU,ANA,away,L,0.4625,0,2,37,43,37-43
7/5/22,2022,ANA,MIA,1,2,MIA,ANA,away,L,0.456790123,0,3,37,44,37-44
7/6/22,2022,ANA,MIA,5,2,ANA,MIA,away,W,0.451219512,0,4,37,45,37-45
7/7/22,2022,ANA,BAL,1,4,BAL,ANA,away,L,0.457831325,1,0,38,45,38-45
7/8/22,2022,ANA,BAL,4,5,BAL,ANA,away,L,0.452380952,0,1,38,46,38-46
7/9/22,2022,ANA,BAL,0,1,BAL,ANA,away,L,0.447058824,0,2,38,47,38-47
7/10/22,2022,ANA,BAL,5,9,BAL,ANA,away,L,0.441860465,0,3,38,48,38-48
